Title,Languages,Score
Lets Fight Ghost,"Swedish, Spanish",7.9
HOW TO BUILD A GIRL,English,5.8
Centigrade,English,4.3
ANNE+,Turkish,6.5
Moxie,English,6.3
The Con-Heartist,Thai,7.4
Gleboka woda,Polish,7.5
Instynkt,Polish,3.9
Only a Mother,Swedish,6.7
Snowroller,"Swedish, English, German, Norwegian",6.6
Sunes Summer,Swedish,5.5
The Invisible,English,6.2
The Simple Minded Murderer,"Scanian, Swedish",7.6
The Stig-Helmer Story,"Swedish, English",4.5
To Kill a Child,Spanish,7.7
Joker,English,8.4
I,"English, Sanskrit",6.5
Harrys Daughters,English,8.1
Gyllene Tider,Swedish,7.7
False As Water,Swedish,6.3
Bang!,,5.6
A Guest Is Coming,Swedish,5.4
1939,Swedish,5.5
Girls und Panzer das Finale,Japanese,7.3
Indoo Ki Jawani,Hindi,1.4
The Coroner,English,7
Brave New World,English,7.1
Comrades: Almost a Love Story,"Cantonese, Mandarin, English",8.1
The Closet,French,7
The Mysterians,"Japanese, English",6.2
No Longer Human,Japanese,5.9
Repast,Japanese,7.7
Sway,Japanese,7.2
When a Woman Ascends the Stairs,Japanese,8.1
Yearning,Japanese,8.1
Gorath,"Japanese, English",5.8
Ginza Cosmetics,"Japanese, English",6.9
Floating Clouds,Japanese,7.7
Cheer Boys!!,Japanese,6.4
365 Nights,Japanese,5.5
Restart After Come Back Home,Japanese,7.2
Trial by Fire,English,6.9
5 Minute,English,8.6
Dilili in Paris,French,7
All of Us,English,5.9
Years and Years,English,8.3
The New Pope,"English, Italian",8.2
Life and Nothing But,French,7.4
Let Joy Reign Supreme,"French, Breton",7.1
Coup de Torchon,"French, English",7.5
Valley of the Gods,English,4.5
Framing John DeLorean,English,6.5
Critters Attack!,English,3.7
The Bold Type,English,8
Alice,"English, Cantonese",6.6
Lobster Cop,Mandarin,5.1
Magic hour,English,5.5
Marionette,English,5.9
Miss Baek,Korean,6.6
Old Marine Boy,Korean,6.9
Ordinary People,English,7.7
Outdoor Begins,Korean,4.8
Paths of the Soul,Tibetan,7.5
Promise at Dawn,"French, Polish, Spanish, English",7.2
Rebel in the Rye,English,6.7
The Return,Russian,8
The Rookies,English,6.7
Snatch Up,English,6
Stray,English,4.8
Stand by Me,English,8.1
Tea Pets,Chinese,5.6
A Tiger In Winter,Korean,6.3
The Three Little Pigs,English,5.8
Wonderstruck,"English, Spanish",6.2
Keys To The Heart,Korean,7.5
Intimate Strangers,French,7
Homme Fatale,Korean,6.9
Happy Bus Day,Korean,6.8
Gonjiam: Haunted Asylum,Korean,6.3
Golden Slumber,Japanese,7.1
Extreme Job,"Korean, Mandarin",7.1
Default,"Korean, English",6.6
Criticsized,English,3.6
Communication & Lies,English,5
Clover,English,4.2
Blood Orange,English,4.3
The Big Shot,English,6.7
Angels Time,English,7.9
After My Death,Korean,6.3
The Age of Blood,Korean,5.9
The Accidental Detective 2: In Action,Korean,6.5
12 Feet Deep,English,5.5
1987: When the Day Comes,Korean,7.8
Enter the Fat Dragon,"Cantonese, Japanese, English",5.7
Operation Buffalo,"English, Aboriginal",6.3
Bigfoot Family,,6
The Girl on the Train,"English, Spanish",6.5
Ginny & Georgia - The Afterparty,English,5.3
Ride Your Wave,Japanese,6.8
Baumbacher Syndrome,"English, German",7.4
La Palma,"German, English, Spanish, Danish",7.6
Fuga,Spanish,6.2
Geez & Ann,English,8
Capone,"English, Polish",4.7
Vaterland: A Hunting Logbook,Czech,6.3
The Last Bastion,English,8.5
Princess Principal,Japanese,7.3
Above Suspicion,English,5.5
A Call to Spy,English,6.3
Red,"English, Russian",7
Made You Look: A True Story About Fake Art,English,7
Il signor Diavolo,Italian,6
Chihayafuru,Japanese,8.2
Classmates Minus,,7.4
Oh My JUMP!,Japanese,8.4
The Mole Agent,Spanish,7.6
The Loop,English,7.3
I Care a Lot,English,6.6
No Escape Room,English,5.2
Legacy of Lies,"English, Ukrainian, Russian",5
2067,English,4.8
Ronny & Klaid,German,5.6
Burden,English,6.6
Collective,"Romanian, English",8.4
Love,"English, French",6.1
Sisyphus,None,6.9
Eeb Allay Ooo!,Hindi,7.4
Behind Her Eyes,English,6.2
The Manson Family Massacre,English,3
Return of the King Huang Feihong,Chinese,4.2
Ten Years Japan,Japanese,5.6
Love at Second Sight,"French, English",7
Liberation,"Russian, German, Italian, Polish, English, French",7.8
The King is Invincible,Chinese,5.7
Amanda,"French, English",7
Corpus Christi,Polish,7.7
The Shadow,English,6.1
Artysci,Polish,7.9
Overcoming,"Danish, English, Italian, Spanish",6.9
Se min kjole,Danish,6.2
Aftermath,"English, Thai",5.7
Awara Paagal Deewana,Hindi,6.2
Unhinged,English,6.1
John Lewis: Good Trouble,English,7.1
Repo Man,"English, Spanish",6.9
For Love of the Game,English,6.6
The Crew,"English, Spanish",5.7
Sweethearts,English,6.3
The Queen of Sin,English,4.2
Uppercut,Italian,6.8
The Replacement Killers,"English, Cantonese",6.2
Then Came You,,7
Story of Women,French,7.5
The Flower of Evil,French,6.5
The Swindle,"French, Hungarian, Italian, Swiss German, Latin",6.5
Madame Bovary,"English, French, Latin, German",5.7
LEnfer,Greek,5.5
Betty,,6.7
New Amsterdam,English,8.1
Wheel of Fortune,English,6.7
The Big Day,Danish,5.4
The Photograph,English,6
Three Nobunagas,Japanese,4.5
Monsoon,"English, Vietnamese",5.9
White House Farm,English,7.4
Follow Me,English,5.1
Mundina Nildana,Kannada,6.4
Capitani,Luxembourgish,7.1
Romang,English,7.2
SUMMER 03,"French, English, Spanish, German",7.7
Weathering with You,Japanese,7.5
Night of the Undead,Korean,5.3
Monster Hunt 2,Mandarin,5.4
Homecoming,English,7.5
Forgotten Rules,Indonesian,7.1
Lassie Come Home,English,7.1
The School Trip,German,5.5
News of the World,"English, German",6.9
O Filho Eterno,Portuguese,6.8
Paradoks,Polish,7
Oh Happy Day,"Danish, English",5.6
Kenny Begins,Swedish,5.8
Cold Lunch,Norwegian,5
Spaceship Earth,English,6.4
Mr. & Mrs. Incredible,"English, Spanish",6.5
